2019-01-18 20:25:52.4738||INFO|Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|User profile is available. Using 'C:\Users\Administrator\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest. |url: |action: 
2019-01-18 20:25:54.8806|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5000/api/values   |url: http://localhost/api/values|action: 
2019-01-18 20:25:55.2824|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 402.3141ms 404  |url: http://localhost/api/values|action: 
2019-01-18 20:26:29.1076||INFO|Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|User profile is available. Using 'C:\Users\Administrator\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest. |url: |action: 
2019-01-18 20:26:31.0396|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5000/api/values   |url: http://localhost/api/values|action: 
2019-01-18 20:26:31.4043|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 365.2772ms 404  |url: http://localhost/api/values|action: 
2019-01-18 20:26:48.7378|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5000/swagger   |url: http://localhost/swagger|action: 
2019-01-18 20:26:48.7378|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 3.1067ms 301  |url: http://localhost/swagger|action: 
2019-01-18 20:26:48.7544|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5000/swagger/index.html   |url: http://localhost/swagger/index.html|action: 
2019-01-18 20:26:48.9119|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 157.467ms 200 text/html |url: http://localhost/swagger/index.html|action: 
2019-01-18 20:26:48.9648|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5000/swagger/swagger-ui.css   |url: http://localhost/swagger/swagger-ui.css|action: 
2019-01-18 20:26:48.9648|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5000/swagger/swagger-ui-bundle.js   |url: http://localhost/swagger/swagger-ui-bundle.js|action: 
2019-01-18 20:26:48.9648|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5000/swagger/swagger-ui-standalone-preset.js   |url: http://localhost/swagger/swagger-ui-standalone-preset.js|action: 
2019-01-18 20:26:49.0173|2|INFO|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|Sending file. Request path: '/swagger-ui-standalone-preset.js'. Physical path: 'N/A' |url: http://localhost/swagger/swagger-ui-standalone-preset.js|action: 
2019-01-18 20:26:49.0173|2|INFO|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|Sending file. Request path: '/swagger-ui.css'. Physical path: 'N/A' |url: http://localhost/swagger/swagger-ui.css|action: 
2019-01-18 20:26:49.0173|2|INFO|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|Sending file. Request path: '/swagger-ui-bundle.js'. Physical path: 'N/A' |url: http://localhost/swagger/swagger-ui-bundle.js|action: 
2019-01-18 20:26:49.0274|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 62.4383ms 200 application/javascript |url: http://localhost/swagger/swagger-ui-standalone-preset.js|action: 
2019-01-18 20:26:49.0274|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 63.9536ms 200 text/css |url: http://localhost/swagger/swagger-ui.css|action: 
2019-01-18 20:26:49.0274|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 63.9701ms 200 application/javascript |url: http://localhost/swagger/swagger-ui-bundle.js|action: 
2019-01-18 20:26:49.8786|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5000/swagger/v1/swagger.json   |url: http://localhost/swagger/v1/swagger.json|action: 
2019-01-18 20:26:49.9328|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5000/swagger/favicon-32x32.png   |url: http://localhost/swagger/favicon-32x32.png|action: 
2019-01-18 20:26:49.9328|2|INFO|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|Sending file. Request path: '/favicon-32x32.png'. Physical path: 'N/A' |url: http://localhost/swagger/favicon-32x32.png|action: 
2019-01-18 20:26:49.9328|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 6.8138ms 200 image/png |url: http://localhost/swagger/favicon-32x32.png|action: 
2019-01-18 20:26:49.9328|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5000/swagger/favicon-16x16.png   |url: http://localhost/swagger/favicon-16x16.png|action: 
2019-01-18 20:26:49.9328|2|INFO|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|Sending file. Request path: '/favicon-16x16.png'. Physical path: 'N/A' |url: http://localhost/swagger/favicon-16x16.png|action: 
2019-01-18 20:26:49.9530|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 7.7415ms 200 image/png |url: http://localhost/swagger/favicon-16x16.png|action: 
