2019-07-31 09:54:46.7075||INFO|Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|User profile is available. Using 'C:\Users\Administrator\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest. |url: |action: 
2019-07-31 09:54:48.7646|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5008/api/values   |url: http://localhost/api/values|action: 
2019-07-31 09:54:49.0996|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 334.2959ms 404  |url: http://localhost/api/values|action: 
2019-07-31 09:54:53.8839|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5008/swagger/index.html   |url: http://localhost/swagger/index.html|action: 
2019-07-31 09:54:54.0109|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 127.8028ms 200 text/html |url: http://localhost/swagger/index.html|action: 
2019-07-31 09:54:54.3429|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5008/swagger/v1/swagger.json   |url: http://localhost/swagger/v1/swagger.json|action: 
2019-07-31 09:54:54.6149|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 272.9294ms 200 application/json;charset=utf-8 |url: http://localhost/swagger/v1/swagger.json|action: 
2019-07-31 13:49:47.9409||INFO|Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|User profile is available. Using 'C:\Users\Administrator\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest. |url: |action: 
2019-07-31 13:49:48.3829|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5008/api/values   |url: http://localhost/api/values|action: 
2019-07-31 13:49:48.6039|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 221.0678ms 404  |url: http://localhost/api/values|action: 
2019-07-31 13:52:14.4453|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5008/swagger/index.html   |url: http://localhost/swagger/index.html|action: 
2019-07-31 13:52:14.5583|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 112.643ms 200 text/html |url: http://localhost/swagger/index.html|action: 
2019-07-31 13:52:15.4333|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5008/swagger/v1/swagger.json   |url: http://localhost/swagger/v1/swagger.json|action: 
2019-07-31 13:52:15.4553|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5008/swagger/favicon-32x32.png   |url: http://localhost/swagger/favicon-32x32.png|action: 
2019-07-31 13:52:15.4723|2|INFO|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|Sending file. Request path: '/favicon-32x32.png'. Physical path: 'N/A' |url: http://localhost/swagger/favicon-32x32.png|action: 
2019-07-31 13:52:15.4723|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 17.9861ms 200 image/png |url: http://localhost/swagger/favicon-32x32.png|action: 
2019-07-31 13:52:15.6844|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 251.5105ms 200 application/json;charset=utf-8 |url: http://localhost/swagger/v1/swagger.json|action: 
2019-07-31 13:52:25.1999|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 POST http://localhost:5008/Health_Card_To_His/get_his_scheduling_list application/json-patch+json 67 |url: http://localhost/Health_Card_To_His/get_his_scheduling_list|action: 
2019-07-31 13:52:25.1999|4|INFO|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|Policy execution successful. |url: http://localhost/Health_Card_To_His/get_his_scheduling_list|action: 
