2019-01-30 10:58:15.9993||INFO|Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|User profile is available. Using 'C:\Users\Administrator\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest. |url: |action: 
2019-01-30 11:00:53.1540|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 OPTIONS http://192.168.0.152:5008/Values/PageList?timestampX=1548817253027   |url: http://192.168.0.152/Values/PageList|action: 
2019-01-30 11:00:53.2352|4|INFO|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|Policy execution successful. |url: http://192.168.0.152/Values/PageList|action: 
2019-01-30 11:00:53.2488|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 95.4072ms 204  |url: http://192.168.0.152/Values/PageList|action: 
2019-01-30 11:00:53.2488|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://192.168.0.152:5008/Values/PageList?timestampX=1548817253027   |url: http://192.168.0.152/Values/PageList|action: 
2019-01-30 11:00:53.2488|4|INFO|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|Policy execution successful. |url: http://192.168.0.152/Values/PageList|action: 
2019-01-30 11:00:53.4918|1|INFO|Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerHandler|Failed to validate the token. Microsoft.IdentityModel.Tokens.SecurityTokenExpiredException: IDX10223: Lifetime validation failed. The token is expired. ValidTo: '[PII is hidden]', Current time: '[PII is hidden]'.
   at Microsoft.IdentityModel.Tokens.Validators.ValidateLifetime(Nullable`1 notBefore, Nullable`1 expires, SecurityToken securityToken, TokenValidationParameters validationParameters) in C:\agent2\_work\56\s\src\Microsoft.IdentityModel.Tokens\Validators.cs:line 274
   at System.IdentityModel.Tokens.Jwt.JwtSecurityTokenHandler.ValidateLifetime(Nullable`1 notBefore, Nullable`1 expires, JwtSecurityToken jwtToken, TokenValidationParameters validationParameters) in C:\agent2\_work\56\s\src\System.IdentityModel.Tokens.Jwt\JwtSecurityTokenHandler.cs:line 1178
   at System.IdentityModel.Tokens.Jwt.JwtSecurityTokenHandler.ValidateTokenPayload(JwtSecurityToken jwtToken, TokenValidationParameters validationParameters) in C:\agent2\_work\56\s\src\System.IdentityModel.Tokens.Jwt\JwtSecurityTokenHandler.cs:line 735
   at System.IdentityModel.Tokens.Jwt.JwtSecurityTokenHandler.ValidateToken(String token, TokenValidationParameters validationParameters, SecurityToken& validatedToken) in C:\agent2\_work\56\s\src\System.IdentityModel.Tokens.Jwt\JwtSecurityTokenHandler.cs:line 719
   at Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerHandler.HandleAuthenticateAsync()|url: http://192.168.0.152/Values/PageList|action: 
2019-01-30 11:00:53.4994|7|INFO|Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerHandler|Bearer was not authenticated. Failure message: IDX10223: Lifetime validation failed. The token is expired. ValidTo: '[PII is hidden]', Current time: '[PII is hidden]'. |url: http://192.168.0.152/Values/PageList|action: 
2019-01-30 11:00:53.6626|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Route matched with {action = "PageList", controller = "Values"}. Executing action DapperTast.Controllers.ValuesController.PageList (DapperTast) |url: http://192.168.0.152/Values/PageList|action: PageList
2019-01-30 11:00:53.6787|2|INFO|Microsoft.AspNetCore.Authorization.DefaultAuthorizationService|Authorization failed. |url: http://192.168.0.152/Values/PageList|action: PageList
2019-01-30 11:00:53.6787|3|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Authorization failed for the request at filter 'Microsoft.AspNetCore.Mvc.Authorization.AuthorizeFilter'. |url: http://192.168.0.152/Values/PageList|action: PageList
2019-01-30 11:00:53.6866|1|INFO|Microsoft.AspNetCore.Mvc.ChallengeResult|Executing ChallengeResult with authentication schemes (). |url: http://192.168.0.152/Values/PageList|action: PageList
2019-01-30 11:00:53.6866|12|INFO|Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerHandler|AuthenticationScheme: Bearer was challenged. |url: http://192.168.0.152/Values/PageList|action: PageList
2019-01-30 11:00:53.7031|2|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executed action DapperTast.Controllers.ValuesController.PageList (DapperTast) in 35.3927ms |url: http://192.168.0.152/Values/PageList|action: PageList
2019-01-30 11:00:53.7031|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 446.5925ms 401  |url: http://192.168.0.152/Values/PageList|action: PageList
2019-01-30 11:01:01.9273|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 OPTIONS http://192.168.0.152:5008/Values/PageList?timestampX=1548817261921   |url: http://192.168.0.152/Values/PageList|action: 
2019-01-30 11:01:01.9273|4|INFO|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|Policy execution successful. |url: http://192.168.0.152/Values/PageList|action: 
2019-01-30 11:01:01.9273|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 5.2314ms 204  |url: http://192.168.0.152/Values/PageList|action: 
2019-01-30 11:01:02.0991|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://192.168.0.152:5008/Values/PageList?timestampX=1548817261921   |url: http://192.168.0.152/Values/PageList|action: 
2019-01-30 11:01:02.0991|4|INFO|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|Policy execution successful. |url: http://192.168.0.152/Values/PageList|action: 
2019-01-30 11:01:02.0991|7|INFO|Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerHandler|Bearer was not authenticated. Failure message: No SecurityTokenValidator available for token: null |url: http://192.168.0.152/Values/PageList|action: 
2019-01-30 11:01:02.0991|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Route matched with {action = "PageList", controller = "Values"}. Executing action DapperTast.Controllers.ValuesController.PageList (DapperTast) |url: http://192.168.0.152/Values/PageList|action: PageList
2019-01-30 11:01:02.1066|2|INFO|Microsoft.AspNetCore.Authorization.DefaultAuthorizationService|Authorization failed. |url: http://192.168.0.152/Values/PageList|action: PageList
2019-01-30 11:01:02.1066|3|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Authorization failed for the request at filter 'Microsoft.AspNetCore.Mvc.Authorization.AuthorizeFilter'. |url: http://192.168.0.152/Values/PageList|action: PageList
2019-01-30 11:01:02.1066|1|INFO|Microsoft.AspNetCore.Mvc.ChallengeResult|Executing ChallengeResult with authentication schemes (). |url: http://192.168.0.152/Values/PageList|action: PageList
2019-01-30 11:01:02.1066|12|INFO|Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerHandler|AuthenticationScheme: Bearer was challenged. |url: http://192.168.0.152/Values/PageList|action: PageList
2019-01-30 11:01:02.1066|2|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executed action DapperTast.Controllers.ValuesController.PageList (DapperTast) in 7.8479ms |url: http://192.168.0.152/Values/PageList|action: PageList
2019-01-30 11:01:02.1066|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 14.5103ms 401  |url: http://192.168.0.152/Values/PageList|action: PageList
2019-01-30 11:02:07.5440|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 OPTIONS http://192.168.0.152:5008/Values/PageList?timestampX=1548817327504   |url: http://192.168.0.152/Values/PageList|action: 
2019-01-30 11:02:07.5440|4|INFO|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|Policy execution successful. |url: http://192.168.0.152/Values/PageList|action: 
2019-01-30 11:02:07.5440|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 10.1971ms 204  |url: http://192.168.0.152/Values/PageList|action: 
2019-01-30 11:02:07.5812|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://192.168.0.152:5008/Values/PageList?timestampX=1548817327504   |url: http://192.168.0.152/Values/PageList|action: 
2019-01-30 11:02:07.5812|4|INFO|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|Policy execution successful. |url: http://192.168.0.152/Values/PageList|action: 
2019-01-30 11:02:07.5812|7|INFO|Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerHandler|Bearer was not authenticated. Failure message: No SecurityTokenValidator available for token: null |url: http://192.168.0.152/Values/PageList|action: 
2019-01-30 11:02:07.5812|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Route matched with {action = "PageList", controller = "Values"}. Executing action DapperTast.Controllers.ValuesController.PageList (DapperTast) |url: http://192.168.0.152/Values/PageList|action: PageList
2019-01-30 11:02:07.5812|2|INFO|Microsoft.AspNetCore.Authorization.DefaultAuthorizationService|Authorization failed. |url: http://192.168.0.152/Values/PageList|action: PageList
2019-01-30 11:02:07.5812|3|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Authorization failed for the request at filter 'Microsoft.AspNetCore.Mvc.Authorization.AuthorizeFilter'. |url: http://192.168.0.152/Values/PageList|action: PageList
2019-01-30 11:02:07.5812|1|INFO|Microsoft.AspNetCore.Mvc.ChallengeResult|Executing ChallengeResult with authentication schemes (). |url: http://192.168.0.152/Values/PageList|action: PageList
2019-01-30 11:02:07.5812|12|INFO|Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerHandler|AuthenticationScheme: Bearer was challenged. |url: http://192.168.0.152/Values/PageList|action: PageList
2019-01-30 11:02:07.5812|2|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executed action DapperTast.Controllers.ValuesController.PageList (DapperTast) in 1.943ms |url: http://192.168.0.152/Values/PageList|action: PageList
2019-01-30 11:02:07.5812|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 7.2176ms 401  |url: http://192.168.0.152/Values/PageList|action: PageList
2019-01-30 11:02:31.4137|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 OPTIONS http://192.168.0.152:5008/Values/PageList?timestampX=1548817351409   |url: http://192.168.0.152/Values/PageList|action: 
2019-01-30 11:02:31.4137|4|INFO|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|Policy execution successful. |url: http://192.168.0.152/Values/PageList|action: 
2019-01-30 11:02:31.4137|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 3.0062ms 204  |url: http://192.168.0.152/Values/PageList|action: 
2019-01-30 11:02:31.4329|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://192.168.0.152:5008/Values/PageList?timestampX=1548817351409   |url: http://192.168.0.152/Values/PageList|action: 
2019-01-30 11:02:31.4363|4|INFO|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|Policy execution successful. |url: http://192.168.0.152/Values/PageList|action: 
2019-01-30 11:02:31.4363|7|INFO|Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerHandler|Bearer was not authenticated. Failure message: No SecurityTokenValidator available for token: null |url: http://192.168.0.152/Values/PageList|action: 
2019-01-30 11:02:31.4363|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Route matched with {action = "PageList", controller = "Values"}. Executing action DapperTast.Controllers.ValuesController.PageList (DapperTast) |url: http://192.168.0.152/Values/PageList|action: PageList
2019-01-30 11:02:31.4363|2|INFO|Microsoft.AspNetCore.Authorization.DefaultAuthorizationService|Authorization failed. |url: http://192.168.0.152/Values/PageList|action: PageList
2019-01-30 11:02:31.4363|3|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Authorization failed for the request at filter 'Microsoft.AspNetCore.Mvc.Authorization.AuthorizeFilter'. |url: http://192.168.0.152/Values/PageList|action: PageList
2019-01-30 11:02:31.4363|1|INFO|Microsoft.AspNetCore.Mvc.ChallengeResult|Executing ChallengeResult with authentication schemes (). |url: http://192.168.0.152/Values/PageList|action: PageList
2019-01-30 11:02:31.4363|12|INFO|Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerHandler|AuthenticationScheme: Bearer was challenged. |url: http://192.168.0.152/Values/PageList|action: PageList
2019-01-30 11:02:31.4363|2|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executed action DapperTast.Controllers.ValuesController.PageList (DapperTast) in 6.2573ms |url: http://192.168.0.152/Values/PageList|action: PageList
2019-01-30 11:02:31.4503|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 18.6445ms 401  |url: http://192.168.0.152/Values/PageList|action: PageList
2019-01-30 11:02:59.2961|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://192.168.0.152:5008/system/GetJWTStr?timestampX=1548817379290   |url: http://192.168.0.152/system/GetJWTStr|action: 
2019-01-30 11:02:59.2961|4|INFO|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|Policy execution successful. |url: http://192.168.0.152/system/GetJWTStr|action: 
2019-01-30 11:02:59.2961|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Route matched with {action = "GetJWTStr", controller = "System"}. Executing action DapperTast.Controllers.SystemController.GetJWTStr (DapperTast) |url: http://192.168.0.152/system/GetJWTStr|action: GetJWTStr
2019-01-30 11:02:59.3174|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executing action method DapperTast.Controllers.SystemController.GetJWTStr (DapperTast) - Validation state: Valid |url: http://192.168.0.152/system/GetJWTStr|action: GetJWTStr
2019-01-30 11:02:59.4006|2|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executed action method DapperTast.Controllers.SystemController.GetJWTStr (DapperTast), returned result Microsoft.AspNetCore.Mvc.ObjectResult in 78.561ms. |url: http://192.168.0.152/system/GetJWTStr|action: GetJWTStr
2019-01-30 11:02:59.4152|1|INFO|Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor|Executing ObjectResult, writing value of type 'Quote.AspNetCore.ApiJsonResultData'. |url: http://192.168.0.152/system/GetJWTStr|action: GetJWTStr
2019-01-30 11:02:59.4449|2|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executed action DapperTast.Controllers.SystemController.GetJWTStr (DapperTast) in 139.4483ms |url: http://192.168.0.152/system/GetJWTStr|action: GetJWTStr
2019-01-30 11:02:59.4449|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 152.1658ms 200 application/json; charset=utf-8 |url: http://192.168.0.152/system/GetJWTStr|action: GetJWTStr
2019-01-30 11:02:59.5965|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 OPTIONS http://192.168.0.152:5008/Values/PageList?timestampX=1548817379594   |url: http://192.168.0.152/Values/PageList|action: 
2019-01-30 11:02:59.5965|4|INFO|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|Policy execution successful. |url: http://192.168.0.152/Values/PageList|action: 
2019-01-30 11:02:59.5965|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 2.3405ms 204  |url: http://192.168.0.152/Values/PageList|action: 
2019-01-30 11:02:59.6287|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://192.168.0.152:5008/Values/PageList?timestampX=1548817379594   |url: http://192.168.0.152/Values/PageList|action: 
2019-01-30 11:02:59.6287|4|INFO|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|Policy execution successful. |url: http://192.168.0.152/Values/PageList|action: 
2019-01-30 11:02:59.6287|7|INFO|Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerHandler|Bearer was not authenticated. Failure message: No SecurityTokenValidator available for token: null |url: http://192.168.0.152/Values/PageList|action: 
2019-01-30 11:02:59.6287|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Route matched with {action = "PageList", controller = "Values"}. Executing action DapperTast.Controllers.ValuesController.PageList (DapperTast) |url: http://192.168.0.152/Values/PageList|action: PageList
2019-01-30 11:02:59.6287|2|INFO|Microsoft.AspNetCore.Authorization.DefaultAuthorizationService|Authorization failed. |url: http://192.168.0.152/Values/PageList|action: PageList
2019-01-30 11:02:59.6447|3|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Authorization failed for the request at filter 'Microsoft.AspNetCore.Mvc.Authorization.AuthorizeFilter'. |url: http://192.168.0.152/Values/PageList|action: PageList
2019-01-30 11:02:59.6447|1|INFO|Microsoft.AspNetCore.Mvc.ChallengeResult|Executing ChallengeResult with authentication schemes (). |url: http://192.168.0.152/Values/PageList|action: PageList
2019-01-30 11:02:59.6447|12|INFO|Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerHandler|AuthenticationScheme: Bearer was challenged. |url: http://192.168.0.152/Values/PageList|action: PageList
2019-01-30 11:02:59.6447|2|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executed action DapperTast.Controllers.ValuesController.PageList (DapperTast) in 13.4507ms |url: http://192.168.0.152/Values/PageList|action: PageList
2019-01-30 11:02:59.6447|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 22.5103ms 401  |url: http://192.168.0.152/Values/PageList|action: PageList
2019-01-30 11:03:09.0231|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://192.168.0.152:5008/system/GetJWTStr?timestampX=1548817389017   |url: http://192.168.0.152/system/GetJWTStr|action: 
2019-01-30 11:03:09.0231|4|INFO|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|Policy execution successful. |url: http://192.168.0.152/system/GetJWTStr|action: 
2019-01-30 11:03:09.0231|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Route matched with {action = "GetJWTStr", controller = "System"}. Executing action DapperTast.Controllers.SystemController.GetJWTStr (DapperTast) |url: http://192.168.0.152/system/GetJWTStr|action: GetJWTStr
2019-01-30 11:03:09.0302|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executing action method DapperTast.Controllers.SystemController.GetJWTStr (DapperTast) - Validation state: Valid |url: http://192.168.0.152/system/GetJWTStr|action: GetJWTStr
2019-01-30 11:03:09.0302|2|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executed action method DapperTast.Controllers.SystemController.GetJWTStr (DapperTast), returned result Microsoft.AspNetCore.Mvc.ObjectResult in 0.3994ms. |url: http://192.168.0.152/system/GetJWTStr|action: GetJWTStr
2019-01-30 11:03:09.0302|1|INFO|Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor|Executing ObjectResult, writing value of type 'Quote.AspNetCore.ApiJsonResultData'. |url: http://192.168.0.152/system/GetJWTStr|action: GetJWTStr
2019-01-30 11:03:09.0302|2|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executed action DapperTast.Controllers.SystemController.GetJWTStr (DapperTast) in 6.3195ms |url: http://192.168.0.152/system/GetJWTStr|action: GetJWTStr
2019-01-30 11:03:09.0302|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 15.167ms 200 application/json; charset=utf-8 |url: http://192.168.0.152/system/GetJWTStr|action: GetJWTStr
2019-01-30 11:03:09.2930|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 OPTIONS http://192.168.0.152:5008/Values/PageList?timestampX=1548817389290   |url: http://192.168.0.152/Values/PageList|action: 
2019-01-30 11:03:09.2940|4|INFO|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|Policy execution successful. |url: http://192.168.0.152/Values/PageList|action: 
2019-01-30 11:03:09.2940|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 1.9271ms 204  |url: http://192.168.0.152/Values/PageList|action: 
2019-01-30 11:03:09.3185|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://192.168.0.152:5008/Values/PageList?timestampX=1548817389290   |url: http://192.168.0.152/Values/PageList|action: 
2019-01-30 11:03:09.3185|4|INFO|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|Policy execution successful. |url: http://192.168.0.152/Values/PageList|action: 
2019-01-30 11:03:09.3483|2|INFO|Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerHandler|Successfully validated the token. |url: http://192.168.0.152/Values/PageList|action: 
2019-01-30 11:03:09.3483|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Route matched with {action = "PageList", controller = "Values"}. Executing action DapperTast.Controllers.ValuesController.PageList (DapperTast) |url: http://192.168.0.152/Values/PageList|action: PageList
2019-01-30 11:03:09.3483|1|INFO|Microsoft.AspNetCore.Authorization.DefaultAuthorizationService|Authorization was successful. |url: http://192.168.0.152/Values/PageList|action: PageList
2019-01-30 11:03:09.3483|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executing action method DapperTast.Controllers.ValuesController.PageList (DapperTast) - Validation state: Valid |url: http://192.168.0.152/Values/PageList|action: PageList
2019-01-30 11:03:09.3578|2|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executed action method DapperTast.Controllers.ValuesController.PageList (DapperTast), returned result Microsoft.AspNetCore.Mvc.ObjectResult in 0.7549ms. |url: http://192.168.0.152/Values/PageList|action: PageList
2019-01-30 11:03:09.3578|1|INFO|Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor|Executing ObjectResult, writing value of type 'Quote.AspNetCore.ApiJsonResultData'. |url: http://192.168.0.152/Values/PageList|action: PageList
2019-01-30 11:03:09.3578|2|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executed action DapperTast.Controllers.ValuesController.PageList (DapperTast) in 8.7631ms |url: http://192.168.0.152/Values/PageList|action: PageList
2019-01-30 11:03:09.3578|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 43.1769ms 200 application/json; charset=utf-8 |url: http://192.168.0.152/Values/PageList|action: PageList
2019-01-30 11:04:08.7984|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 OPTIONS http://192.168.0.152:5008/Values/PageList?timestampX=1548817448791   |url: http://192.168.0.152/Values/PageList|action: 
2019-01-30 11:04:08.7984|4|INFO|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|Policy execution successful. |url: http://192.168.0.152/Values/PageList|action: 
2019-01-30 11:04:08.7984|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 2.3629ms 204  |url: http://192.168.0.152/Values/PageList|action: 
2019-01-30 11:04:08.8102|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://192.168.0.152:5008/Values/PageList?timestampX=1548817448791   |url: http://192.168.0.152/Values/PageList|action: 
2019-01-30 11:04:08.8102|4|INFO|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|Policy execution successful. |url: http://192.168.0.152/Values/PageList|action: 
2019-01-30 11:04:08.8102|2|INFO|Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerHandler|Successfully validated the token. |url: http://192.168.0.152/Values/PageList|action: 
2019-01-30 11:04:08.8102|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Route matched with {action = "PageList", controller = "Values"}. Executing action DapperTast.Controllers.ValuesController.PageList (DapperTast) |url: http://192.168.0.152/Values/PageList|action: PageList
2019-01-30 11:04:08.8102|1|INFO|Microsoft.AspNetCore.Authorization.DefaultAuthorizationService|Authorization was successful. |url: http://192.168.0.152/Values/PageList|action: PageList
