2019-07-30 16:38:01.7561||INFO|Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|User profile is available. Using 'C:\Users\Administrator\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest. |url: |action: 
2019-07-30 16:38:03.9382|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5008/api/values   |url: http://localhost/api/values|action: 
2019-07-30 16:38:04.5392|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 601.1303ms 404  |url: http://localhost/api/values|action: 
2019-07-30 16:38:16.2989|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5008/swagger   |url: http://localhost/swagger|action: 
2019-07-30 16:38:16.3149|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 25.8084ms 301  |url: http://localhost/swagger|action: 
2019-07-30 16:38:16.3149|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5008/swagger/index.html   |url: http://localhost/swagger/index.html|action: 
2019-07-30 16:38:16.4299|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 111.9741ms 200 text/html |url: http://localhost/swagger/index.html|action: 
2019-07-30 16:38:16.4569|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5008/swagger/swagger-ui-standalone-preset.js   |url: http://localhost/swagger/swagger-ui-standalone-preset.js|action: 
2019-07-30 16:38:16.4689|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5008/swagger/swagger-ui-bundle.js   |url: http://localhost/swagger/swagger-ui-bundle.js|action: 
2019-07-30 16:38:16.4689|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5008/swagger/swagger-ui.css   |url: http://localhost/swagger/swagger-ui.css|action: 
2019-07-30 16:38:16.5149|2|INFO|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|Sending file. Request path: '/swagger-ui-standalone-preset.js'. Physical path: 'N/A' |url: http://localhost/swagger/swagger-ui-standalone-preset.js|action: 
2019-07-30 16:38:16.5149|2|INFO|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|Sending file. Request path: '/swagger-ui.css'. Physical path: 'N/A' |url: http://localhost/swagger/swagger-ui.css|action: 
2019-07-30 16:38:16.5329|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 61.7752ms 200 text/css |url: http://localhost/swagger/swagger-ui.css|action: 
2019-07-30 16:38:16.5329|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 80.6764ms 200 application/javascript |url: http://localhost/swagger/swagger-ui-standalone-preset.js|action: 
2019-07-30 16:38:16.5329|2|INFO|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|Sending file. Request path: '/swagger-ui-bundle.js'. Physical path: 'N/A' |url: http://localhost/swagger/swagger-ui-bundle.js|action: 
2019-07-30 16:38:16.5329|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 91.5142ms 200 application/javascript |url: http://localhost/swagger/swagger-ui-bundle.js|action: 
2019-07-30 16:38:17.0709|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5008/swagger/v1/swagger.json   |url: http://localhost/swagger/v1/swagger.json|action: 
2019-07-30 16:38:17.2989|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 224.878ms 200 application/json;charset=utf-8 |url: http://localhost/swagger/v1/swagger.json|action: 
2019-07-30 16:38:28.8816|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 POST http://localhost:5008/Health_Card_To_His/get_his_scheduling_list application/json-patch+json 67 |url: http://localhost/Health_Card_To_His/get_his_scheduling_list|action: 
2019-07-30 16:38:28.8896|4|INFO|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|Policy execution successful. |url: http://localhost/Health_Card_To_His/get_his_scheduling_list|action: 
2019-07-30 16:38:28.9676|3|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Route matched with {action = "get_his_scheduling_list", controller = "Health_Card_To_His"}. Executing controller action with signature System.Threading.Tasks.Task`1[Quote.AspNetCore.ApiJsonResultData] get_his_scheduling_list(DapperTast.Param.Get_His_Scheduling_List_Param) on controller DapperTast.Controllers.Health_Card_To_HisController (DapperTast). |url: http://localhost/Health_Card_To_His/get_his_scheduling_list|action: get_his_scheduling_list
2019-07-30 16:38:29.0846|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executing action method DapperTast.Controllers.Health_Card_To_HisController.get_his_scheduling_list (DapperTast) - Validation state: Valid |url: http://localhost/Health_Card_To_His/get_his_scheduling_list|action: get_his_scheduling_list
2019-07-30 16:46:16.3103||INFO|Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|User profile is available. Using 'C:\Users\Administrator\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest. |url: |action: 
2019-07-30 16:46:17.6494|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5008/api/values   |url: http://localhost/api/values|action: 
2019-07-30 16:46:17.9304|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 286.9865ms 404  |url: http://localhost/api/values|action: 
2019-07-30 16:46:31.3292|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5008/swagger/index.html   |url: http://localhost/swagger/index.html|action: 
2019-07-30 16:46:31.4252|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 96.2667ms 200 text/html |url: http://localhost/swagger/index.html|action: 
2019-07-30 16:46:31.7682|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5008/swagger/v1/swagger.json   |url: http://localhost/swagger/v1/swagger.json|action: 
2019-07-30 16:46:31.9872|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 217.8304ms 200 application/json;charset=utf-8 |url: http://localhost/swagger/v1/swagger.json|action: 
2019-07-30 16:46:39.9617|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 POST http://localhost:5008/Health_Card_To_His/get_his_scheduling_list application/json-patch+json 67 |url: http://localhost/Health_Card_To_His/get_his_scheduling_list|action: 
2019-07-30 16:46:39.9617|4|INFO|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|Policy execution successful. |url: http://localhost/Health_Card_To_His/get_his_scheduling_list|action: 
