2019-01-24 12:11:33.2402||INFO|Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|User profile is available. Using 'C:\Users\Administrator\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest. |url: |action: 
2019-01-24 12:11:38.4768|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://192.168.0.152:5008/system/GetJWTStr   |url: http://192.168.0.152/system/GetJWTStr|action: 
2019-01-24 12:11:38.7640|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Route matched with {action = "GetJWTStr", controller = "System"}. Executing action DapperTast.Controllers.SystemController.GetJWTStr (DapperTast) |url: http://192.168.0.152/system/GetJWTStr|action: GetJWTStr
2019-01-24 12:11:38.7640|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executing action method DapperTast.Controllers.SystemController.GetJWTStr (DapperTast) - Validation state: Valid |url: http://192.168.0.152/system/GetJWTStr|action: GetJWTStr
2019-01-24 12:11:38.8852|2|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executed action method DapperTast.Controllers.SystemController.GetJWTStr (DapperTast), returned result Microsoft.AspNetCore.Mvc.ObjectResult in 105.9771ms. |url: http://192.168.0.152/system/GetJWTStr|action: GetJWTStr
2019-01-24 12:11:38.8935|1|INFO|Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor|Executing ObjectResult, writing value of type 'Quote.AspNetCore.ApiJsonResultData'. |url: http://192.168.0.152/system/GetJWTStr|action: GetJWTStr
2019-01-24 12:11:38.9202|2|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executed action DapperTast.Controllers.SystemController.GetJWTStr (DapperTast) in 150.748ms |url: http://192.168.0.152/system/GetJWTStr|action: GetJWTStr
2019-01-24 12:11:38.9202|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 451.8482ms 200 application/json; charset=utf-8 |url: http://192.168.0.152/system/GetJWTStr|action: GetJWTStr
2019-01-24 12:12:07.3465||INFO|Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|User profile is available. Using 'C:\Users\Administrator\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest. |url: |action: 
2019-01-24 12:20:08.1896|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 OPTIONS http://192.168.0.152:5008/DapperTast/Values/GetAccounts?timestampX=1548303607982   |url: http://192.168.0.152/DapperTast/Values/GetAccounts|action: 
2019-01-24 12:20:08.4799|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 290.5278ms 404  |url: http://192.168.0.152/DapperTast/Values/GetAccounts|action: 
