2019-01-31 10:24:30.5499||INFO|Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|User profile is available. Using 'C:\Users\Administrator\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest. |url: |action: 
2019-01-31 10:25:35.2874|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 OPTIONS http://192.168.0.152:5008/Values/PageList?timestampX=1548901535178   |url: http://192.168.0.152/Values/PageList|action: 
2019-01-31 10:25:35.3572|4|INFO|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|Policy execution successful. |url: http://192.168.0.152/Values/PageList|action: 
2019-01-31 10:25:35.3692|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 82.1643ms 204  |url: http://192.168.0.152/Values/PageList|action: 
2019-01-31 10:25:35.3692|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://192.168.0.152:5008/Values/PageList?timestampX=1548901535178   |url: http://192.168.0.152/Values/PageList|action: 
2019-01-31 10:25:35.3692|4|INFO|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|Policy execution successful. |url: http://192.168.0.152/Values/PageList|action: 
2019-01-31 10:25:35.5820|1|INFO|Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerHandler|Failed to validate the token. Microsoft.IdentityModel.Tokens.SecurityTokenExpiredException: IDX10223: Lifetime validation failed. The token is expired. ValidTo: '[PII is hidden]', Current time: '[PII is hidden]'.
   at Microsoft.IdentityModel.Tokens.Validators.ValidateLifetime(Nullable`1 notBefore, Nullable`1 expires, SecurityToken securityToken, TokenValidationParameters validationParameters) in C:\agent2\_work\56\s\src\Microsoft.IdentityModel.Tokens\Validators.cs:line 274
   at System.IdentityModel.Tokens.Jwt.JwtSecurityTokenHandler.ValidateLifetime(Nullable`1 notBefore, Nullable`1 expires, JwtSecurityToken jwtToken, TokenValidationParameters validationParameters) in C:\agent2\_work\56\s\src\System.IdentityModel.Tokens.Jwt\JwtSecurityTokenHandler.cs:line 1178
   at System.IdentityModel.Tokens.Jwt.JwtSecurityTokenHandler.ValidateTokenPayload(JwtSecurityToken jwtToken, TokenValidationParameters validationParameters) in C:\agent2\_work\56\s\src\System.IdentityModel.Tokens.Jwt\JwtSecurityTokenHandler.cs:line 735
   at System.IdentityModel.Tokens.Jwt.JwtSecurityTokenHandler.ValidateToken(String token, TokenValidationParameters validationParameters, SecurityToken& validatedToken) in C:\agent2\_work\56\s\src\System.IdentityModel.Tokens.Jwt\JwtSecurityTokenHandler.cs:line 719
   at Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerHandler.HandleAuthenticateAsync()|url: http://192.168.0.152/Values/PageList|action: 
2019-01-31 10:25:35.5877|7|INFO|Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerHandler|Bearer was not authenticated. Failure message: IDX10223: Lifetime validation failed. The token is expired. ValidTo: '[PII is hidden]', Current time: '[PII is hidden]'. |url: http://192.168.0.152/Values/PageList|action: 
2019-01-31 10:25:35.7240|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Route matched with {action = "PageList", controller = "Values"}. Executing action DapperTast.Controllers.ValuesController.PageList (DapperTast) |url: http://192.168.0.152/Values/PageList|action: PageList
2019-01-31 10:25:35.7382|2|INFO|Microsoft.AspNetCore.Authorization.DefaultAuthorizationService|Authorization failed. |url: http://192.168.0.152/Values/PageList|action: PageList
2019-01-31 10:25:35.7382|3|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Authorization failed for the request at filter 'Microsoft.AspNetCore.Mvc.Authorization.AuthorizeFilter'. |url: http://192.168.0.152/Values/PageList|action: PageList
