2019-08-13 18:01:28.4466||INFO|Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|User profile is available. Using 'C:\Users\Administrator\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest. |url: |action: 
2019-08-13 18:01:29.1636|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5008/api/values   |url: http://localhost/api/values|action: 
2019-08-13 18:01:29.2466|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 83.492ms 404  |url: http://localhost/api/values|action: 
2019-08-13 18:01:32.8196|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5008/   |url: http://localhost/|action: 
2019-08-13 18:01:32.8206|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 0.6866ms 404  |url: http://localhost/|action: 
2019-08-13 18:01:37.2756|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5008/swagger   |url: http://localhost/swagger|action: 
2019-08-13 18:01:37.2756|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 1.529ms 301  |url: http://localhost/swagger|action: 
2019-08-13 18:01:37.2756|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5008/swagger/index.html   |url: http://localhost/swagger/index.html|action: 
2019-08-13 18:01:37.3196|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 41.1246ms 200 text/html |url: http://localhost/swagger/index.html|action: 
2019-08-13 18:01:37.3196|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5008/swagger/swagger-ui.css   |url: http://localhost/swagger/swagger-ui.css|action: 
2019-08-13 18:01:37.3196|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5008/swagger/swagger-ui-bundle.js   |url: http://localhost/swagger/swagger-ui-bundle.js|action: 
2019-08-13 18:01:37.3196|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5008/swagger/swagger-ui-standalone-preset.js   |url: http://localhost/swagger/swagger-ui-standalone-preset.js|action: 
2019-08-13 18:01:37.3566|2|INFO|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|Sending file. Request path: '/swagger-ui.css'. Physical path: 'N/A' |url: http://localhost/swagger/swagger-ui.css|action: 
2019-08-13 18:01:37.3566|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 33.584ms 200 text/css |url: http://localhost/swagger/swagger-ui.css|action: 
2019-08-13 18:01:37.3616|2|INFO|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|Sending file. Request path: '/swagger-ui-standalone-preset.js'. Physical path: 'N/A' |url: http://localhost/swagger/swagger-ui-standalone-preset.js|action: 
2019-08-13 18:01:37.3616|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 33.0468ms 200 application/javascript |url: http://localhost/swagger/swagger-ui-standalone-preset.js|action: 
